ItemID,ItemName,Price
500,Practical Fresh Pizza,138778
501,Concrete Car,72292
502,Generic Tuna,33833
503,Practical Steel Ball,145230
504,Mouse,30309
505,Intelligent Hat,16970
506,Fresh Ball,82474
507,Fresh Sausages,56540
508,Cotton Mouse,161456
509,Small Frozen Computer,28017
510,Keyboard,85880
511,Small Soft Computer,115570
512,Gorgeous Salad,18702
513,Incredible Granite Fish,141456
514,Fresh Gloves,10404
515,Plastic Sausages,182015
516,Small Chicken,188998
517,Incredible Rubber Towels,170261
518,Concrete Salad,22763
519,Shirt,159456
520,Hat,108142
521,Wooden Tuna,150932
522,Fresh Chair,90642
523,Concrete Car,60612
524,Table,33574
525,Cheese,33524
526,Handmade Rubber Chair,20916
527,Chips,14809
528,Salad,173273
529,Pants,194402
530,Bacon,154528
531,Concrete Cheese,197469
532,Awesome Table,131288
533,Towels,48765
534,Bacon,175888
535,Fish,55106
536,Small Sausages,63932
537,Concrete Pants,158172
538,Handcrafted Cheese,67091
539,Intelligent Mouse,31949
540,Small Shoes,47744
541,Rustic Bike,186615
542,Soft Shirt,118319
543,Frozen Keyboard,102193
544,Concrete Tuna,46187
545,Chips,148311
546,Generic Ball,134454
547,For repair Pants,24489
548,Hat,199089
549,Chicken,71877
550,Concrete Chicken,184197
551,Small Soap,59922
552,Hat,104074
553,Fantastic Bacon,173121
554,Fantastic Steel Chips,47131
555,Sausages,184016
556,Fresh Bike,125765
557,Used Frozen Hat,83963
558,New Steel Shoes,116884
559,Sausages,135917
560,Concrete Chips,34285
561,Practical Wooden Chicken,47626
562,Gently Used Gloves,183880
563,Sleek Salad,194943
564,Practical Plastic Gloves,29198
565,Chicken,160830
566,Tasty Towels,25254
567,Steel Table,54238
568,Practical Wooden Hat,11252
569,Soft Fish,49764
570,Concrete Fish,87709
571,Rubber Computer,178513
572,Fish,63682
573,Ergonomic Car,69494
574,Towels,91317
575,Soft Cheese,75215
576,Wooden Gloves,88587
577,Table,16949
578,Towels,65393
579,Concrete Shirt,148013
580,Sleek Shoes,35934
581,Awesome Fresh Chips,164458
582,Ergonomic Wooden Computer,85745
583,Concrete Sausages,104456
584,Wooden Table,63413
585,Ergonomic Soap,197872
586,Fresh Bacon,107239
587,Gently Used Pizza,52318
588,Wooden Keyboard,80390
589,Chips,193401
590,Hat,53088
591,Hat,113196
592,Licensed Hat,180883
593,Wooden Shirt,65479
594,Rustic Steel Soap,29963
595,Pants,65123
596,Steel Bacon,135911
597,Intelligent Concrete Mouse,112468
598,Mouse,83477
599,Cotton Ball,24388
600,Shoes,15569
601,Awesome Soft Bacon,79836
602,Generic Fresh Mouse,114573
603,Bacon,177658
604,Small Mouse,153087
605,Computer,55002
606,Rustic Soap,147326
607,Licensed Steel Bacon,158216
608,Generic Cheese,165286
609,Fresh Shoes,147162
610,Wooden Ball,152709
611,Small Metal Bacon,163487
612,Ergonomic Pizza,34071
613,Ball,68243
614,Plastic Shirt,135827
615,Cotton Sausages,118215
616,Unbranded Soft Fish,182312
617,Car,111570
618,Rustic Frozen Shoes,174506
619,Used Concrete Soap,79724
620,Table,125359
621,Handmade Pants,85697
622,Plastic Car,38732
623,Computer,131465
624,Generic Soap,152386
625,Soft Salad,165026
626,Practical Metal Tuna,67108
627,Computer,121195
628,Steel Soap,113081
629,Granite Table,46668
630,Handcrafted Metal Fish,33061
631,Intelligent Pizza,89252
632,Sleek Chair,49749
633,Hat,140560
634,Handcrafted Plastic Fish,114680
635,Gently Used Steel Keyboard,157979
636,Unbranded Wooden Soap,159849
637,Fantastic Wooden Towels,61745
638,Generic Shirt,118464
639,Gloves,101865
640,Steel Ball,122428
641,Pants,33624
642,Handmade Soap,33321
643,Ergonomic Soft Cheese,151560
644,Handmade Rubber Shirt,32574
645,Fish,146312
646,Refined Fresh Chair,184293
647,Granite Chair,151550
648,Wooden Mouse,196717
649,Awesome Bacon,160334
650,Plastic Chips,128831
651,Salad,193868
652,Practical Granite Salad,145504
653,Towels,105257
654,Fresh Hat,74291
655,Soft Mouse,137600
656,For repair Concrete Hat,60428
657,Fantastic Plastic Fish,141374
658,Computer,141127
659,Rustic Chips,121317
660,Licensed Metal Keyboard,149789
661,Wooden Bacon,137449
662,Sleek Car,38699
663,Fantastic Soft Shoes,83686
664,Fantastic Tuna,77661
665,Used Rubber Pants,54247
666,Ball,157820
667,Licensed Car,115113
668,Metal Pizza,14621
669,Practical Soap,156106
670,Fantastic Computer,146198
671,Gorgeous Chips,146194
672,Used Pizza,28030
673,Intelligent Plastic Fish,92838
674,Rubber Ball,94717
675,Gently Used Chair,196730
676,Ergonomic Plastic Keyboard,48638
677,Metal Fish,77067
678,Steel Soap,128033
679,Computer,115977
680,Practical Concrete Towels,98869
681,Gorgeous Steel Computer,115186
682,Awesome Frozen Mouse,44674
683,Tuna,176926
684,Tuna,56271
685,For repair Soft Cheese,83688
686,Fantastic Gloves,179590
687,Cheese,121076
688,Small Concrete Towels,151339
689,Cheese,11062
690,Small Plastic Gloves,60448
691,Intelligent Ball,105462
692,Intelligent Salad,147301
693,Fantastic Bike,197865
694,Tuna,57915
695,Concrete Pants,14632
696,Handmade Soft Keyboard,114592
697,Small Chair,144668
698,Tasty Cotton Chips,119779
699,Cotton Fish,147240
700,Gently Used Granite Pants,118099
701,Licensed Cheese,17561
702,Cheese,92152
703,Ergonomic Chicken,135036
704,Incredible Soft Cheese,134049
705,Awesome Rubber Chair,36734
706,Granite Soap,147443
707,Incredible Plastic Bacon,36069
708,Small Fresh Bacon,22910
709,Unbranded Pizza,83479
710,Ball,91264
711,Plastic Table,33275
712,Sleek Pants,82274
713,Cotton Pizza,110776
714,Unbranded Keyboard,195625
715,Chair,58447
716,Towels,175601
717,Hat,136394
718,Bacon,85703
719,Incredible Salad,86090
720,Practical Fresh Chicken,27260
721,Cotton Tuna,122581
722,Gently Used Chair,13812
723,For repair Fish,169096
724,Rubber Salad,199728
725,Chips,126148
726,Chips,168357
727,Cotton Tuna,126421
728,Fresh Mouse,11605
729,Incredible Computer,82303
730,For repair Frozen Ball,168211
731,Wooden Bike,197210
732,Intelligent Concrete Computer,86125
733,Unbranded Computer,154990
734,Intelligent Chips,168518
735,Used Keyboard,134040
736,Unbranded Steel Gloves,154118
737,Plastic Shoes,165890
738,Practical Table,14324
739,New Computer,86323
740,Sleek Plastic Chair,19111
741,Bacon,179182
742,Pizza,26389
743,Tasty Wooden Chair,132177
744,Frozen Bacon,51427
745,Ergonomic Soap,169818
746,Awesome Chicken,132883
747,Granite Chair,141189
748,Fresh Chicken,135808
749,Practical Bike,122221
750,Ergonomic Shoes,23234
751,Licensed Steel Car,63441
752,Cheese,10846
753,Generic Plastic Ball,20954
754,Practical Granite Bacon,89239
755,Wooden Tuna,56514
756,Fish,98236
757,Gorgeous Concrete Pants,107579
758,Shoes,147541
759,Keyboard,171177
760,Ball,52101
761,Awesome Car,74323
762,Small Keyboard,101922
763,Frozen Chicken,199139
764,Table,190448
765,Chips,186659
766,Gently Used Steel Chair,178048
767,Frozen Towels,137534
768,New Fresh Bike,77584
769,For repair Towels,114537
770,Ergonomic Wooden Bike,88477
771,Shirt,52533
772,Cotton Soap,11828
773,Bike,11917
774,Wooden Chair,30618
775,Granite Chicken,42254
776,Fantastic Wooden Pizza,115292
777,Handcrafted Towels,57362
778,For repair Car,30128
779,For repair Granite Ball,133781
780,Car,75545
781,Rustic Soap,92180
782,Gorgeous Salad,97958
783,Steel Sausages,150937
784,Used Rubber Shirt,143291
785,Unbranded Pants,49809
786,Bacon,126748
787,Ergonomic Ball,15287
788,Steel Keyboard,175459
789,Frozen Tuna,18512
790,Wooden Tuna,142414
791,New Chicken,118872
792,Unbranded Concrete Chips,160288
793,Awesome Salad,103070
794,Handmade Frozen Shoes,89767
795,Bacon,107829
796,Car,167686
797,Incredible Steel Cheese,177330
798,Tasty Wooden Chips,52078
799,Awesome Wooden Table,116288
800,Plastic Gloves,93524
801,Handcrafted Fresh Hat,22219
802,Gently Used Shirt,10235
803,Gloves,52929
804,Licensed Fish,137309
805,Small Chair,77444
806,For repair Towels,149639
