TransactionID,ItemID,Quantity,LineTotal
1,734,27,4549986
1,987,12,357792
1,601,26,2075736
1,651,42,8142456
1,860,26,400608
1,977,37,6594140
1,537,16,2530752
1,553,47,8136687
1,663,22,1841092
2,787,32,489184
2,918,14,1676878
2,570,21,1841889
2,979,11,162327
2,705,24,881616
3,894,19,463258
3,830,40,962400
3,715,13,759811
3,538,47,3153277
3,764,10,1904480
4,981,4,605868
4,952,46,3599224
4,822,4,386960
5,539,36,1150164
6,641,6,201744
6,622,41,1588012
6,903,18,2525940
6,794,40,3590680
6,598,5,417385
7,714,7,1369375
7,919,44,1204192
7,937,16,2476640
7,509,30,840510
7,845,31,4271676
7,613,42,2866206
8,690,28,1692544
8,646,14,2580102
8,772,39,461292
9,693,5,989325
9,978,25,2606750
9,929,14,141764
10,989,39,2451267
10,776,17,1959964
10,687,24,2905824
10,740,30,573330
10,625,42,6931092
10,557,32,2686816
10,751,3,190323
10,823,40,1020960
11,811,23,3369201
11,512,21,392742
11,502,22,744326
11,529,16,3110432
11,838,22,3305632
11,767,5,687670
11,509,42,1176714
11,852,44,2856348
11,798,47,2447666
12,911,41,5817326
12,734,38,6403684
12,857,23,2090930
12,977,5,891100
12,736,4,616472
13,922,47,4782297
13,587,11,575498
13,571,42,7497546
14,570,36,3157524
14,998,32,4593728
14,849,25,532550
14,792,29,4648352
14,814,5,735115
15,776,24,2767008
15,813,3,161775
15,975,34,1912160
15,941,8,1418528
15,698,37,4431823
16,961,23,1695813
16,751,30,1903230
16,563,23,4483689
16,956,20,984480
16,677,9,693603
16,963,44,6584556
16,728,25,290125
17,840,32,2487296
17,839,47,7527896
17,750,8,185872
18,882,46,6243718
18,766,27,4807296
18,530,45,6953760
19,843,36,6718680
19,724,5,998640
19,610,10,1527090
20,849,18,383436
20,637,44,2716780
20,580,15,539010
20,768,19,1474096
20,770,1,88477
20,937,43,6655970
21,812,48,8507088
21,659,25,3032925
22,890,11,1529418
22,985,27,2172960
23,511,39,4507230
23,918,34,4072418
23,711,5,166375
23,813,46,2480550
23,558,46,5376664
23,991,33,3522123
23,522,7,634494
24,855,19,655861
24,947,7,771106
24,705,28,1028552
24,508,25,4036400
24,798,7,364546
24,706,47,6929821
24,864,2,283988
25,661,34,4673266
25,832,9,1533231
25,664,4,310644
25,810,1,134450
25,557,9,755667
25,722,3,41436
25,796,26,4359836
25,884,10,1647820
26,777,3,172086
26,891,19,571957
26,640,18,2203704
27,538,11,738001
27,765,10,1866590
28,691,43,4534866
29,666,39,6154980
29,791,34,4041648
29,814,46,6763058
29,527,45,666405
29,558,2,233768
29,759,25,4279425
29,520,9,973278
30,652,49,7129696
30,596,31,4213241
31,817,26,4755504
32,681,44,5068184
32,597,43,4836124
32,540,38,1814272
32,529,42,8164884
32,594,36,1078668
32,660,32,4793248
32,857,1,90910
32,703,19,2565684
32,682,28,1250872
33,876,4,116116
33,945,32,4086976
33,531,3,592407
33,662,28,1083572
33,668,3,43863
33,920,42,6568800
33,872,17,716618
33,845,30,4133880
34,953,10,1527660
34,900,27,4879926
34,597,34,3823912
34,964,40,722800
34,794,23,2064641
34,866,14,858984
34,987,11,327976
34,692,8,1178408
34,979,22,324654
35,814,45,6616035
36,820,43,7378585
36,990,1,165989
36,710,6,547584
36,689,11,121682
36,571,15,2677695
36,713,22,2437072
36,534,9,1582992
36,861,5,346895
36,920,26,4066400
37,796,43,7210498
37,674,4,378868
37,869,44,3372864
37,985,18,1448640
37,733,43,6664570
37,951,22,2853818
37,606,16,2357216
37,605,30,1650060
38,876,11,319319
39,546,34,4571436
39,870,48,2593344
39,568,27,303804
39,657,23,3251602
40,967,36,2439396
40,959,47,2384686
40,661,15,2061735
40,554,10,471310
40,928,8,914104
41,800,37,3460388
41,890,22,3058836
41,692,19,2798719
41,851,26,1330082
41,774,35,1071630
41,914,30,3014220
41,697,22,3182696
42,539,43,1373807
42,623,47,6178855
42,776,45,5188140
42,990,26,4315714
42,820,44,7550180
42,563,4,779772
42,559,35,4757095
43,560,30,1028550
43,796,12,2012232
43,629,45,2100060
43,866,11,674916
43,568,48,540096
44,541,45,8397675
44,757,28,3012212
44,501,15,1084380
44,745,16,2717088
44,705,25,918350
44,573,44,3057736
44,912,31,3876023
45,631,17,1517284
45,563,38,7407834
45,711,45,1497375
45,706,24,3538632
45,673,48,4456224
45,618,26,4537156
45,705,10,367340
45,978,7,729890
45,519,26,4145856
46,762,34,3465348
46,953,16,2444256
46,726,19,3198783
46,789,41,758992
46,589,20,3868020
46,502,9,304497
46,675,3,590190
46,804,16,2196944
46,905,37,3249858
47,511,25,2889250
47,548,14,2787246
47,830,34,818040
48,951,49,6356231
48,615,23,2718945
48,945,31,3959258
48,660,31,4643459
48,590,9,477792
48,633,49,6887440
48,880,25,4623600
49,967,34,2303874
49,770,1,88477
49,925,33,1558227
50,639,17,1731705
50,926,47,3303113
51,827,1,135501
51,865,45,4892535
51,940,25,802900
51,760,36,1875636
51,941,39,6915324
51,650,49,6312719
51,807,7,782838
51,776,19,2190548
51,906,3,408615
52,906,39,5311995
52,916,27,2249613
53,954,17,1126488
54,638,22,2606208
54,817,35,6401640
54,577,18,305082
54,803,29,1534941
54,504,33,1000197
54,637,26,1605370
54,981,14,2120538
55,519,41,6537696
55,740,4,76444
56,866,1,61356
56,560,6,205710
57,970,37,1920818
58,656,42,2537976
58,771,41,2153853
58,646,10,1842930
58,734,18,3033324
58,936,27,5101758
58,608,16,2644576
59,659,14,1698438
59,585,8,1582976
59,798,24,1249872
59,521,46,6942872
59,731,19,3746990
59,641,47,1580328
60,650,37,4766747
60,878,25,1056625
60,803,41,2170089
60,900,24,4337712
60,917,28,3804780
60,565,16,2573280
60,626,38,2550104
61,875,1,77779
61,801,27,599913
61,902,14,1885996
61,548,5,995445
61,938,6,267360
61,909,35,5392485
61,694,32,1853280
62,722,22,303864
62,913,35,3012695
62,561,29,1381154
62,640,33,4040124
62,816,4,72028
63,852,30,1947510
63,929,25,253150
63,844,6,956718
64,554,44,2073764
64,582,13,1114685
64,506,38,3134012
65,607,42,6645072
65,699,39,5742360
65,714,16,3130000
65,681,8,921488
65,622,48,1859136
65,957,27,2914515
65,740,7,133777
65,723,9,1521864
66,715,2,116894
66,667,37,4259181
66,633,28,3935680
67,903,37,5192210
67,906,43,5856815
67,612,31,1056201
67,727,48,6068208
68,977,32,5703040
68,625,15,2475390
68,705,21,771414
68,681,11,1267046
68,731,29,5719090
69,844,4,637812
69,701,49,860489
69,521,34,5131688
69,867,48,997872
69,563,30,5848290
69,904,23,1870245
69,655,14,1926400
69,851,27,1381239
69,532,47,6170536
70,551,5,299610
70,948,22,4273390
70,646,12,2211516
70,549,12,862524
71,908,20,1726500
71,952,37,2895028
71,834,22,3366572
71,843,38,7091940
71,717,36,4910184
72,726,20,3367140
72,768,40,3103360
72,502,24,811992
72,561,41,1952666
72,990,11,1825879
72,691,28,2952936
72,724,47,9387216
72,830,1,24060
72,893,15,2041620
73,730,20,3364220
73,862,15,525795
73,826,31,4375619
74,630,3,99183
74,979,40,590280
74,548,35,6968115
74,935,26,3766594
75,549,3,215631
75,708,31,710210
75,687,48,5811648
75,841,3,525264
76,834,21,3213546
76,773,41,488597
76,534,47,8266736
76,645,22,3218864
76,639,41,4176465
76,602,49,5614077
76,580,32,1149888
77,598,3,250431
77,619,16,1275584
77,614,4,543308
77,572,30,1910460
77,600,17,264673
77,977,14,2495080
77,757,47,5056213
77,967,13,880893
78,815,34,3311192
78,514,37,384948
78,616,2,364624
78,602,12,1374876
78,843,25,4665750
78,511,27,3120390
78,839,31,4965208
78,957,18,1943010
78,657,19,2686106
79,718,47,4028041
79,647,35,5304250
79,870,32,1728896
79,902,19,2559566
79,561,42,2000292
80,798,2,104156
81,578,25,1634825
82,943,7,1320165
82,787,5,76435
83,877,44,3044844
84,942,38,5423246
84,651,25,4846700
85,750,26,604084
85,724,6,1198368
86,580,25,898350
86,763,38,7567282
86,690,38,2297024
86,718,1,85703
86,750,36,836424
87,929,2,20252
87,997,3,307122
87,992,14,2276932
87,614,8,1086616
87,585,23,4551056
87,655,40,5504000
87,709,3,250437
87,727,4,505684
88,905,20,1756680
88,510,21,1803480
88,580,8,287472
88,886,28,2293396
88,889,24,1215144
88,968,27,1251936
88,546,32,4302528
88,984,8,1350144
89,942,43,6136831
89,628,5,565405
89,955,14,945630
89,729,13,1069939
89,918,40,4791080
89,594,36,1078668
89,772,8,94624
90,582,10,857450
90,526,33,690228
90,914,46,4621804
90,909,2,308142
90,782,31,3036698
90,798,9,468702
91,953,7,1069362
92,795,16,1725264
92,619,32,2551168
92,653,2,210514
92,558,12,1402608
92,603,22,3908476
92,798,43,2239354
92,953,49,7485534
92,796,30,5030580
92,787,45,687915
93,629,6,280008
93,551,34,2037348
93,585,30,5936160
93,756,8,785888
93,714,4,782500
94,811,28,4101636
94,960,17,2825774
94,728,42,487410
94,975,20,1124800
94,983,15,1708380
94,880,1,184944
94,914,1,100474
95,852,8,519336
95,835,39,3250260
96,774,3,91854
96,914,34,3416116
97,833,23,1143353
97,770,26,2300402
97,592,38,6873554
97,585,47,9299984
98,646,28,5160204
98,808,23,2174765
98,614,10,1358270
98,712,10,822740
98,929,17,172142
99,876,28,812812
99,751,29,1839789
99,529,4,777608
99,968,9,417312
99,532,15,1969320
100,674,38,3599246
100,510,23,1975240
100,549,7,503139
100,513,33,4668048
100,940,24,770784
100,628,1,113081
101,619,38,3029512
101,709,8,667832
101,540,16,763904
101,842,23,488658
101,960,20,3324440
101,705,2,73468
101,992,40,6505520
