ItemID,ItemName,Price
500,Product 500,47065
501,Product 501,109299
502,Product 502,173678
503,Product 503,21534
504,Product 504,50397
505,Product 505,101387
506,Product 506,11016
507,Product 507,65591
508,Product 508,33247
509,Product 509,34300
510,Product 510,92798
511,Product 511,19268
512,Product 512,96807
513,Product 513,22185
514,Product 514,180171
515,Product 515,149643
516,Product 516,48044
517,Product 517,61214
518,Product 518,124752
519,Product 519,58984
520,Product 520,50774
521,Product 521,12568
522,Product 522,130151
523,Product 523,143767
524,Product 524,134375
