TransactionID,ItemID,Quantity,LineTotal
1,522,13,1691963
2,513,17,377145
2,516,6,288264
3,523,33,4744311
3,501,46,5027754
3,514,35,6305985
3,519,24,1415616
3,513,43,953955
3,509,3,102900
3,512,7,677649
4,516,13,624572
4,515,30,4489290
4,512,17,1645719
4,522,48,6247248
4,508,3,99741
5,505,45,4562415
5,520,23,1167802
5,524,45,6046875
5,502,33,5731374
5,513,10,221850
5,506,16,176256
5,501,13,1420887
5,518,9,1122768
6,501,27,2951073
6,518,20,2495040
6,522,25,3253775
6,508,15,498705
6,512,25,2420175
7,516,35,1681540
7,510,7,649586
7,511,47,905596
8,502,21,3647238
8,523,7,1006369
8,524,13,1746875
8,513,43,953955
8,504,17,856749
9,501,39,4262661
9,518,26,3243552
9,522,25,3253775
9,523,38,5463146
9,519,7,412888
9,515,32,4788576
9,511,17,327556
9,506,22,242352
9,513,38,843030
10,524,7,940625
10,510,41,3804718
10,520,3,152322
10,504,46,2318262
11,506,39,429624
11,516,44,2113936
12,515,1,149643
12,506,32,352512
12,517,1,61214
12,524,45,6046875
12,513,45,998325
12,500,40,1882600
13,506,30,330480
13,503,23,495282
14,514,18,3243078
14,507,20,1311820
14,508,34,1130398
14,502,35,6078730
14,506,17,187272
14,523,25,3594175
14,511,43,828524
14,503,41,882894
14,521,4,50272
15,516,33,1585452
15,507,46,3017186
15,518,17,2120784
15,508,23,764681
15,519,15,884760
15,502,38,6599764
16,501,36,3934764
17,501,21,2295279
17,502,25,4341950
17,523,28,4025476
17,500,26,1223690
17,508,25,831175
17,511,25,481700
17,510,48,4454304
17,520,33,1675542
18,518,46,5738592
18,519,20,1179680
19,518,24,2994048
19,514,27,4864617
19,523,29,4169243
19,522,3,390453
19,521,35,439880
19,506,5,55080
19,502,2,347356
19,503,10,215340
19,520,48,2437152
20,511,37,712916
21,524,18,2418750
21,508,41,1363127
22,512,39,3775473
23,516,15,720660
23,515,40,5985720
23,501,25,2732475
23,505,19,1926353
23,514,8,1441368
23,512,41,3969087
23,518,27,3368304
23,513,28,621180
24,505,38,3852706
24,523,40,5750680
24,510,18,1670364
24,511,1,19268
24,517,15,918210
24,515,32,4788576
24,514,33,5945643
24,504,35,1763895
25,504,17,856749
25,520,17,863158
25,507,47,3082777
25,515,6,897858
25,502,13,2257814
25,514,10,1801710
26,516,8,384352
26,523,23,3306641
27,516,13,624572
27,508,36,1196892
28,504,43,2167071
29,512,35,3388245
29,520,4,203096
