Date,Time,Sender,Receiver,Amount,Payment Type,Sender Bank Location,Receiver Bank Location,Payment Currency,Receiver Currency,Is Suspicious,Type
2023-03-01,00:00:00,ACC01015328,ACC01015329,852.55,Credit Card,United States,United States,USD,USD,0,Normal Group
2023-08-15,00:00:00,ACC01015490,ACC01015491,6997.82,Debit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-10-28,19:00:00,ACC01010837,ACC01010838,9628.10126459578,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-03-17,00:52:00,ACC01006743,ACC01006744,3554.11,Credit Card,Netherlands,Spain,EUR,EUR,0,Single Transaction
2023-04-10,00:00:00,ACC01014869,ACC01014870,4470.93,Cheque,Japan,Japan,JPY,JPY,0,Normal Group
2023-01-31,18:00:00,ACC01011209,ACC01011210,1518.9999973882898,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-12-26,00:00:00,ACC01012484,ACC01012487,383.86,Cash,Germany,Germany,EUR,EUR,0,Normal Group
2023-07-30,12:00:00,ACC01009807,ACC01009808,4845.522910183356,Debit Card,Italy,Italy,EUR,EUR,0,Periodical
2023-03-06,00:00:00,ACC01015436,ACC01015443,3325.82,Debit Card,Canada,Canada,CAD,CAD,0,Normal Group
2023-09-20,00:00:00,ACC01012619,ACC01012624,7544.46,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-02-22,00:00:00,ACC01014968,ACC01014969,1384.87,Credit Card,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-09-01,05:32:00,ACC01005413,ACC01005414,577.67,Cross-border,Spain,United States,EUR,USD,0,Single Transaction
2023-09-17,00:00:00,ACC01011998,ACC01012006,3579.46,Cheque,United States,United States,USD,USD,0,Normal Group
2023-10-11,00:00:00,ACC01015364,ACC01015367,2850.04,Debit Card,Italy,Italy,EUR,EUR,0,Normal Group
2023-11-14,00:00:00,ACC01012259,ACC01012260,5307.45,Cash,Spain,Spain,EUR,EUR,0,Normal Group
2023-10-18,00:00:00,ACC01015193,ACC01015200,736.62,Cheque,Australia,Australia,AUD,AUD,0,Normal Group
2023-08-12,18:53:00,ACC01007921,ACC01007922,639.25,Cross-border,United States,France,USD,EUR,0,Single Transaction
2023-05-15,00:00:00,ACC01014041,ACC01014043,687.82,Cross-border,Japan,Japan,JPY,JPY,0,Normal Group
2023-04-19,00:00:00,ACC01014050,ACC01014056,6299.07,ACH,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-07,08:20:00,ACC01001083,ACC01001084,1322.93,Debit Card,Canada,Australia,CAD,AUD,0,Single Transaction
2023-12-11,00:00:00,ACC01014005,ACC01014011,7881.14,Debit Card,Australia,Australia,AUD,AUD,0,Normal Group
2023-05-31,01:00:00,ACC01011261,ACC01011262,5054.961869425854,ACH,United States,United States,USD,USD,0,Periodical
2023-03-01,00:00:00,ACC01011863,ACC01011866,5389.05,Cheque,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-02-09,00:00:00,ACC01014698,ACC01014701,8231.26,Cross-border,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-02,18:00:00,ACC01009683,ACC01009684,2647.9101113386255,ACH,Germany,Germany,EUR,EUR,0,Periodical
2023-07-30,07:00:00,ACC01011351,ACC01011352,1007.6104088806568,ACH,United States,United States,USD,USD,0,Periodical
2023-09-02,00:00:00,ACC01013195,ACC01013201,8124.77,Cash,Spain,Spain,EUR,EUR,0,Normal Group
2023-06-02,00:00:00,ACC01012052,ACC01012054,9237.63,ACH,Netherlands,Netherlands,EUR,EUR,0,Normal Group
2023-03-14,00:00:00,ACC01012592,ACC01012593,6152.64,Cross-border,France,France,EUR,EUR,0,Normal Group
2023-01-01,16:00:00,ACC01011567,ACC01011568,7806.157675584036,Debit Card,France,France,EUR,EUR,0,Periodical
2023-10-06,04:12:00,ACC01009441,ACC01009442,3287.47,Credit Card,Spain,United States,EUR,USD,0,Single Transaction
2023-03-02,22:00:00,ACC01010785,ACC01010786,8130.8772799547,ACH,Netherlands,Netherlands,EUR,EUR,0,Periodical
2023-05-01,09:00:00,ACC01010617,ACC01010618,7919.162374018696,Debit Card,Spain,Spain,EUR,EUR,0,Periodical
2023-07-10,10:14:00,ACC01007555,ACC01007556,2534.77,Debit Card,Italy,Germany,EUR,EUR,0,Single Transaction
2023-03-31,12:16:00,ACC01002579,ACC01002580,268.41,Cross-border,Netherlands,Germany,EUR,EUR,0,Single Transaction
2024-01-04,00:00:00,ACC01013735,ACC01013738,8401.64,ACH,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-02,23:00:00,ACC01011363,ACC01011364,4285.253292889322,Debit Card,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-03-04,07:59:00,ACC01002685,ACC01002686,4522.17,Cash,Germany,United Kingdom,EUR,GBP,0,Single Transaction
2023-09-28,08:00:00,ACC01010485,ACC01010486,1814.6965673508755,ACH,United Kingdom,United Kingdom,GBP,GBP,0,Periodical
2023-04-13,00:00:00,ACC01015427,ACC01015428,8027.87,ACH,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-02,00:00:00,ACC01009699,ACC01009700,3069.817076050621,ACH,Spain,Spain,EUR,EUR,0,Periodical
2023-01-01,10:00:00,ACC01010891,ACC01010892,9925.245549984042,ACH,Germany,Germany,EUR,EUR,0,Periodical
2023-07-30,00:00:00,ACC01010169,ACC01010170,7949.222751386894,Debit Card,United States,United States,USD,USD,0,Periodical
2023-12-08,00:00:00,ACC01012961,ACC01012969,7478.16,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-02-26,12:19:00,ACC01001269,ACC01001270,1783.91,Cross-border,Australia,United States,AUD,USD,0,Single Transaction
2023-04-08,00:00:00,ACC01014986,ACC01014988,4741.05,Debit Card,United States,United States,USD,USD,0,Normal Group
2023-10-26,00:00:00,ACC01014122,ACC01014123,655.77,Cash,United Kingdom,United Kingdom,GBP,GBP,0,Normal Group
2023-06-30,06:00:00,ACC01009809,ACC01009810,4404.715959402098,ACH,United States,United States,USD,USD,0,Periodical
2023-07-05,00:00:00,ACC01014473,ACC01014481,9959.29,Debit Card,Spain,Spain,EUR,EUR,0,Normal Group
2023-11-11,00:00:00,ACC01012079,ACC01012085,8853.65,Cash,Japan,Japan,JPY,JPY,0,Normal Group
2023-08-13,23:30:00,ACC01005337,ACC01005338,525.94,Cheque,Italy,Netherlands,EUR,EUR,0,Single Transaction
2023-05-17,02:19:00,ACC01009667,ACC01009668,1657.76,Cheque,France,Canada,EUR,CAD,0,Single Transaction
2023-01-01,13:00:00,ACC01010513,ACC01010514,858.144625774103,Debit Card,Spain,Spain,EUR,EUR,0,Periodical
2023-02-14,00:00:00,ACC01015625,ACC01015628,1018.04,Credit Card,Japan,Japan,JPY,JPY,0,Normal Group
2023-04-01,21:00:00,ACC01010445,ACC01010446,1906.3648087112445,Debit Card,United States,United States,USD,USD,0,Periodical
2023-03-02,06:56:00,ACC01004453,ACC01004454,4509.14,Cash,United States,Canada,USD,CAD,0,Single Transaction
2023-07-14,00:00:00,ACC01014959,ACC01014961,1852.26,Debit Card,United States,United States,USD,USD,0,Normal Group
2023-01-15,00:00:00,ACC01012934,ACC01012937,2683.9,Cash,Germany,Germany,EUR,EUR,0,Normal Group
2023-03-02,19:00:00,ACC01011427,ACC01011428,3448.796944214576,Debit Card,United States,United States,USD,USD,0,Periodical
2023-05-31,13:00:00,ACC01009717,ACC01009718,1243.2408450599403,Debit Card,Germany,Germany,EUR,EUR,0,Periodical
2023-05-02,04:41:00,ACC01001613,ACC01001614,1453.33,Cheque,Japan,Australia,JPY,AUD,0,Single Transaction
2023-07-26,00:00:00,ACC01014167,ACC01014169,1128.12,ACH,France,France,EUR,EUR,0,Normal Group
2023-10-15,00:00:00,ACC01011593,ACC01011594,5332.17,Debit Card,Australia,Australia,AUD,AUD,0,Normal Group
